"","presence","year","julianday","tideangle_deg","mh","mon","Per2","Per4","Time6","Tide4"
"22470",0,2012,285,57,23,10,"RestOfYear","RestOfYear","MNight","2"
"3436",0,2010,146,180,5,5,"MayJun","MayJun2","AM1","3"
"39399",0,2015,32,238,7,2,"RestOfYear","RestOfYear","AM2","4"
"19679",1,2012,168,169,16,6,"MayJun","MayJun3","PM1","3"
"6112",0,2010,258,337,17,9,"RestOfYear","RestOfYear","PM1","1"
"15",0,2010,2,43,15,1,"RestOfYear","RestOfYear","PM1","1"
"46365",1,2015,325,169,14,11,"RestOfYear","RestOfYear","MDay","3"
"21965",0,2012,264,196,22,9,"RestOfYear","RestOfYear","PM2","3"
"35385",0,2014,225,272,24,8,"RestOfYear","RestOfYear","MNight","4"
"40639",0,2015,83,221,23,3,"RestOfYear","RestOfYear","MNight","3"
"36716",0,2014,281,324,11,10,"RestOfYear","RestOfYear","MDay","1"
"22485",0,2012,286,115,14,10,"RestOfYear","RestOfYear","MDay","2"
"37924",1,2014,331,95,19,11,"RestOfYear","RestOfYear","PM2","2"
"46256",0,2015,321,284,1,11,"RestOfYear","RestOfYear","MNight","4"
"23476",0,2012,328,5,21,11,"RestOfYear","RestOfYear","PM2","1"
"2405",0,2010,103,182,6,4,"RestOfYear","RestOfYear","AM1","3"
"11088",0,2011,103,195,2,4,"RestOfYear","RestOfYear","MNight","3"
"4841",1,2010,205,180,18,7,"RestOfYear","RestOfYear","PM1","3"
