"","presence","year","julianday","tideangle_deg","mh","mon","Per2","Per4","Time6","Tide4"
"20781",0,2012,215,36,14,8,"RestOfYear","RestOfYear","MDay","1"
"44788",1,2015,258,211,21,9,"RestOfYear","RestOfYear","PM2","3"
"362",0,2010,17,11,2,1,"RestOfYear","RestOfYear","MNight","1"
"14525",0,2011,247,69,7,9,"RestOfYear","RestOfYear","AM2","2"
"13079",1,2011,187,276,1,7,"RestOfYear","RestOfYear","MNight","4"
"11199",0,2011,107,156,17,4,"RestOfYear","RestOfYear","PM1","3"
"26054",0,2013,196,339,4,7,"RestOfYear","RestOfYear","AM1","1"
"8388",0,2010,354,39,13,12,"RestOfYear","RestOfYear","MDay","1"
"8322",0,2010,351,275,19,12,"RestOfYear","RestOfYear","PM2","4"
"47054",0,2015,354,351,7,12,"RestOfYear","RestOfYear","AM2","1"
"41446",0,2015,118,196,15,4,"RestOfYear","RestOfYear","PM1","3"
"44427",0,2015,243,181,20,8,"RestOfYear","RestOfYear","PM2","3"
"24145",0,2013,116,67,15,4,"RestOfYear","RestOfYear","PM1","2"
"45139",0,2015,273,302,12,9,"RestOfYear","RestOfYear","MDay","4"
"29097",1,2013,324,263,23,11,"RestOfYear","RestOfYear","MNight","4"
"24554",0,2013,133,44,16,5,"MayJun","MayJun1","PM1","1"
"17727",0,2012,23,345,12,1,"RestOfYear","RestOfYear","MDay","1"
"36791",0,2014,284,348,14,10,"RestOfYear","RestOfYear","MDay","1"
"38958",0,2015,13,130,22,1,"RestOfYear","RestOfYear","PM2","2"
"30758",0,2014,30,127,4,2,"RestOfYear","RestOfYear","AM1","2"
"106",0,2010,6,162,10,1,"RestOfYear","RestOfYear","AM2","3"
"30117",0,2014,3,272,11,1,"RestOfYear","RestOfYear","MDay","4"
"36126",0,2014,256,159,21,9,"RestOfYear","RestOfYear","PM2","3"
"39795",0,2015,48,231,19,2,"RestOfYear","RestOfYear","PM2","4"
"40582",0,2015,81,4,14,3,"RestOfYear","RestOfYear","MDay","1"
"10423",0,2011,75,311,8,3,"RestOfYear","RestOfYear","AM2","4"
"10975",0,2011,98,183,9,4,"RestOfYear","RestOfYear","AM2","3"
"26571",0,2013,219,117,17,8,"RestOfYear","RestOfYear","PM1","2"
"30450",0,2014,17,205,8,1,"RestOfYear","RestOfYear","AM2","3"
"20472",1,2012,202,105,17,7,"RestOfYear","RestOfYear","PM1","2"
"25907",1,2013,190,3,1,7,"RestOfYear","RestOfYear","MNight","1"
"47297",0,2015,364,189,10,12,"RestOfYear","RestOfYear","AM2","3"
"29643",0,2013,348,186,17,12,"RestOfYear","RestOfYear","PM1","3"
"14816",0,2011,259,224,10,9,"RestOfYear","RestOfYear","AM2","3"
"40983",0,2015,98,163,8,4,"RestOfYear","RestOfYear","AM2","3"
"42339",0,2015,155,183,20,6,"MayJun","MayJun2","PM2","3"
"4174",0,2010,177,300,23,6,"MayJun","MayJun3","MNight","4"
"19918",1,2012,178,300,15,6,"MayJun","MayJun3","PM1","4"
"9085",0,2011,18,82,14,1,"RestOfYear","RestOfYear","MDay","2"
"30204",0,2014,7,284,2,1,"RestOfYear","RestOfYear","MNight","4"
"16992",1,2011,357,287,21,12,"RestOfYear","RestOfYear","PM2","4"
"18282",0,2012,46,268,15,2,"RestOfYear","RestOfYear","PM1","4"
"41768",0,2015,132,194,1,5,"MayJun","MayJun1","MNight","3"
"23226",0,2012,318,341,11,11,"RestOfYear","RestOfYear","MDay","1"
"20260",1,2012,192,106,21,7,"RestOfYear","RestOfYear","PM2","2"
"39942",0,2015,54,182,22,2,"RestOfYear","RestOfYear","PM2","3"
"33327",1,2014,139,77,6,5,"MayJun","MayJun1","AM1","2"
"36046",0,2014,253,350,13,9,"RestOfYear","RestOfYear","MDay","1"
"16140",1,2011,322,113,9,11,"RestOfYear","RestOfYear","AM2","2"
"43710",1,2015,213,280,23,8,"RestOfYear","RestOfYear","MNight","4"
"31749",0,2014,71,50,11,3,"RestOfYear","RestOfYear","MDay","2"
"12399",0,2011,157,41,17,6,"MayJun","MayJun2","PM1","1"
"4482",0,2010,190,256,19,7,"RestOfYear","RestOfYear","PM2","4"
"2521",0,2010,108,346,2,4,"RestOfYear","RestOfYear","MNight","1"
"34919",0,2014,206,62,14,7,"RestOfYear","RestOfYear","MDay","2"
"9700",0,2011,44,295,5,2,"RestOfYear","RestOfYear","AM1","4"
"16834",0,2011,351,66,7,12,"RestOfYear","RestOfYear","AM2","2"
"29045",0,2013,322,177,19,11,"RestOfYear","RestOfYear","PM2","3"
"15756",0,2011,298,86,14,10,"RestOfYear","RestOfYear","MDay","2"
"36085",0,2014,255,48,4,9,"RestOfYear","RestOfYear","AM1","2"
"34794",0,2014,201,74,9,7,"RestOfYear","RestOfYear","AM2","2"
"10510",0,2011,78,317,23,3,"RestOfYear","RestOfYear","MNight","1"
"42472",0,2015,161,85,9,6,"MayJun","MayJun3","AM2","2"
"37789",0,2014,326,121,4,11,"RestOfYear","RestOfYear","AM1","2"
"8539",0,2010,360,116,20,12,"RestOfYear","RestOfYear","PM2","2"
"26543",0,2013,218,19,13,8,"RestOfYear","RestOfYear","MDay","1"
"25355",1,2013,167,238,1,6,"MayJun","MayJun3","MNight","4"
"21758",0,2012,256,290,7,9,"RestOfYear","RestOfYear","AM2","4"
"5600",0,2010,237,241,9,8,"RestOfYear","RestOfYear","AM2","4"
"24534",0,2013,132,178,20,5,"MayJun","MayJun1","PM2","3"
"8214",1,2010,347,47,7,12,"RestOfYear","RestOfYear","AM2","2"
"12880",0,2011,177,283,18,6,"MayJun","MayJun3","PM1","4"
"34120",0,2014,172,5,7,6,"MayJun","MayJun3","AM2","1"
"27498",0,2013,258,347,8,9,"RestOfYear","RestOfYear","AM2","1"
"8592",0,2010,363,208,1,12,"RestOfYear","RestOfYear","MNight","3"
"189",1,2010,9,41,21,1,"RestOfYear","RestOfYear","PM2","1"
"24545",0,2013,133,141,7,5,"MayJun","MayJun1","AM2","3"
"41854",0,2015,135,149,15,5,"MayJun","MayJun1","PM1","3"
"42476",0,2015,161,197,13,6,"MayJun","MayJun3","MDay","3"
"16014",0,2011,317,46,3,11,"RestOfYear","RestOfYear","AM1","2"
"14152",0,2011,231,64,18,8,"RestOfYear","RestOfYear","PM1","2"
"38064",0,2014,341,86,16,12,"RestOfYear","RestOfYear","PM1","2"
"45523",0,2015,290,274,12,10,"RestOfYear","RestOfYear","MDay","4"
"44541",0,2015,248,260,14,9,"RestOfYear","RestOfYear","MDay","4"
"44508",0,2015,247,25,5,9,"RestOfYear","RestOfYear","AM1","1"
"26669",1,2013,223,111,19,8,"RestOfYear","RestOfYear","PM2","2"
"34345",0,2014,181,44,16,6,"RestOfYear","RestOfYear","PM1","1"
"36082",0,2014,255,314,1,9,"RestOfYear","RestOfYear","MNight","4"
"36908",0,2014,289,147,11,10,"RestOfYear","RestOfYear","MDay","3"
"35328",0,2014,223,59,15,8,"RestOfYear","RestOfYear","PM1","2"
"8522",0,2010,360,339,3,12,"RestOfYear","RestOfYear","AM1","1"
"5008",0,2010,212,37,17,7,"RestOfYear","RestOfYear","PM1","1"
"41282",0,2015,111,135,19,4,"RestOfYear","RestOfYear","PM2","2"
"11842",1,2011,134,80,12,5,"MayJun","MayJun1","MDay","2"
"22891",0,2012,303,353,12,10,"RestOfYear","RestOfYear","MDay","1"
"45779",0,2015,301,104,4,10,"RestOfYear","RestOfYear","AM1","2"
"13527",0,2011,205,305,17,7,"RestOfYear","RestOfYear","PM1","4"
"14123",1,2011,230,294,13,8,"RestOfYear","RestOfYear","MDay","4"
"5741",1,2010,243,66,6,8,"RestOfYear","RestOfYear","AM1","2"
"13457",0,2011,202,73,19,7,"RestOfYear","RestOfYear","PM2","2"
"32919",0,2014,122,110,6,5,"MayJun","MayJun1","AM1","2"
"1059",1,2010,46,52,3,2,"RestOfYear","RestOfYear","AM1","2"
"24398",0,2013,127,158,4,5,"MayJun","MayJun1","AM1","3"
"22291",0,2012,278,279,12,10,"RestOfYear","RestOfYear","MDay","4"
"39242",0,2015,25,57,18,1,"RestOfYear","RestOfYear","PM1","2"
"19817",0,2012,174,236,10,6,"MayJun","MayJun3","AM2","4"
"40671",0,2015,85,74,7,3,"RestOfYear","RestOfYear","AM2","2"
"41567",0,2015,123,115,16,5,"MayJun","MayJun1","PM1","2"
"27883",0,2013,274,334,9,10,"RestOfYear","RestOfYear","AM2","1"
"44787",1,2015,258,182,20,9,"RestOfYear","RestOfYear","PM2","3"
"20283",1,2012,193,55,20,7,"RestOfYear","RestOfYear","PM2","2"
"43300",1,2015,196,254,21,7,"RestOfYear","RestOfYear","PM2","4"
"6645",0,2010,281,269,22,10,"RestOfYear","RestOfYear","PM2","4"
"13813",0,2011,217,316,15,8,"RestOfYear","RestOfYear","PM1","1"
"7336",0,2010,310,136,17,11,"RestOfYear","RestOfYear","PM1","3"
"28850",0,2013,314,298,16,11,"RestOfYear","RestOfYear","PM1","4"
"29126",0,2013,327,15,4,11,"RestOfYear","RestOfYear","AM1","1"
"44339",0,2015,240,155,4,8,"RestOfYear","RestOfYear","AM1","3"
"28376",0,2013,294,235,22,10,"RestOfYear","RestOfYear","PM2","4"
"7877",1,2010,333,5,6,11,"RestOfYear","RestOfYear","AM1","1"
"28724",0,2013,309,258,10,11,"RestOfYear","RestOfYear","AM2","4"
"42186",0,2015,149,55,11,5,"MayJun","MayJun2","MDay","2"
"23931",1,2013,107,8,17,4,"RestOfYear","RestOfYear","PM1","1"
"9891",0,2011,53,28,4,2,"RestOfYear","RestOfYear","AM1","1"
"10099",0,2011,61,252,20,3,"RestOfYear","RestOfYear","PM2","4"
"35103",0,2014,214,62,6,8,"RestOfYear","RestOfYear","AM1","2"
"8482",0,2010,358,254,11,12,"RestOfYear","RestOfYear","MDay","4"
"39839",0,2015,50,70,15,2,"RestOfYear","RestOfYear","PM1","2"
"10822",0,2011,91,4,24,4,"RestOfYear","RestOfYear","MNight","1"
"3264",0,2010,139,270,1,5,"MayJun","MayJun1","MNight","4"
"5226",0,2010,221,204,19,8,"RestOfYear","RestOfYear","PM2","3"
"13756",0,2011,215,98,6,8,"RestOfYear","RestOfYear","AM1","2"
"33020",1,2014,126,179,11,5,"MayJun","MayJun1","MDay","3"
"43160",0,2015,191,184,1,7,"RestOfYear","RestOfYear","MNight","3"
"46798",0,2015,343,114,15,12,"RestOfYear","RestOfYear","PM1","2"
"12532",0,2011,163,268,6,6,"MayJun","MayJun3","AM1","4"
"22722",0,2012,296,157,11,10,"RestOfYear","RestOfYear","MDay","3"
"35016",1,2014,210,26,15,7,"RestOfYear","RestOfYear","PM1","1"
"34322",0,2014,180,89,17,6,"MayJun","MayJun3","PM1","2"
"24070",0,2013,113,48,12,4,"RestOfYear","RestOfYear","MDay","2"
"12634",0,2011,167,335,12,6,"MayJun","MayJun3","MDay","1"
"10968",0,2011,98,338,2,4,"RestOfYear","RestOfYear","MNight","1"
"33763",1,2014,157,118,10,6,"MayJun","MayJun2","AM2","2"
"42588",1,2015,166,171,5,6,"MayJun","MayJun3","AM1","3"
"20651",1,2012,210,267,4,7,"RestOfYear","RestOfYear","AM1","4"
"40060",0,2015,59,326,20,2,"RestOfYear","RestOfYear","PM2","1"
"36513",1,2014,272,251,24,9,"RestOfYear","RestOfYear","MNight","4"
"5002",1,2010,212,224,11,7,"RestOfYear","RestOfYear","MDay","3"
"7828",0,2010,331,31,5,11,"RestOfYear","RestOfYear","AM1","1"
"37931",1,2014,332,293,2,11,"RestOfYear","RestOfYear","MNight","4"
"36341",0,2014,265,240,20,9,"RestOfYear","RestOfYear","PM2","4"
"16905",0,2011,354,310,6,12,"RestOfYear","RestOfYear","AM1","4"
"43306",0,2015,197,73,3,7,"RestOfYear","RestOfYear","AM1","2"
"45208",0,2015,276,150,9,10,"RestOfYear","RestOfYear","AM2","3"
"46425",1,2015,328,106,2,11,"RestOfYear","RestOfYear","MNight","2"
"4148",1,2010,176,265,21,6,"MayJun","MayJun3","PM2","4"
"6953",1,2010,294,186,18,10,"RestOfYear","RestOfYear","PM1","3"
"43851",0,2015,219,58,20,8,"RestOfYear","RestOfYear","PM2","2"
"22427",0,2012,284,259,4,10,"RestOfYear","RestOfYear","AM1","4"
"47200",0,2015,360,240,9,12,"RestOfYear","RestOfYear","AM2","4"
"31133",0,2014,45,200,19,2,"RestOfYear","RestOfYear","PM2","3"
"23491",0,2012,329,65,12,11,"RestOfYear","RestOfYear","MDay","2"
"9173",0,2011,22,116,6,1,"RestOfYear","RestOfYear","AM1","2"
"44455",1,2015,244,275,24,9,"RestOfYear","RestOfYear","MNight","4"
"9657",1,2011,42,139,10,2,"RestOfYear","RestOfYear","AM2","3"
"16637",1,2011,343,82,2,12,"RestOfYear","RestOfYear","MNight","2"
"42487",0,2015,161,144,24,6,"MayJun","MayJun3","MNight","3"
"40297",0,2015,69,55,17,3,"RestOfYear","RestOfYear","PM1","2"
"20939",0,2012,222,330,4,8,"RestOfYear","RestOfYear","AM1","1"
"28556",0,2013,302,54,10,10,"RestOfYear","RestOfYear","AM2","2"
"40204",0,2015,65,204,20,3,"RestOfYear","RestOfYear","PM2","3"
"8536",0,2010,360,30,17,12,"RestOfYear","RestOfYear","PM1","1"
"10069",0,2011,60,104,14,2,"RestOfYear","RestOfYear","MDay","2"
"34355",0,2014,182,335,2,6,"RestOfYear","RestOfYear","MNight","1"
"39837",0,2015,50,11,13,2,"RestOfYear","RestOfYear","MDay","1"
"23175",0,2012,316,303,8,11,"RestOfYear","RestOfYear","AM2","4"
"29207",0,2013,330,202,13,11,"RestOfYear","RestOfYear","MDay","3"
"5124",1,2010,217,165,13,8,"RestOfYear","RestOfYear","MDay","3"
"21825",0,2012,259,76,2,9,"RestOfYear","RestOfYear","MNight","2"
"13055",1,2011,186,297,1,7,"RestOfYear","RestOfYear","MNight","4"
"2338",0,2010,100,44,11,4,"RestOfYear","RestOfYear","MDay","1"
"29444",0,2013,340,214,10,12,"RestOfYear","RestOfYear","AM2","3"
"35178",0,2014,217,74,9,8,"RestOfYear","RestOfYear","AM2","2"
"22390",0,2012,282,288,15,10,"RestOfYear","RestOfYear","PM1","4"
"10457",0,2011,76,222,18,3,"RestOfYear","RestOfYear","PM1","3"
"12287",0,2011,153,17,1,6,"MayJun","MayJun2","MNight","1"
"26092",1,2013,197,2,18,7,"RestOfYear","RestOfYear","PM1","1"
"42810",0,2015,175,160,11,6,"MayJun","MayJun3","MDay","3"
"23041",0,2012,310,58,18,11,"RestOfYear","RestOfYear","PM1","2"
"15788",1,2011,299,293,22,10,"RestOfYear","RestOfYear","PM2","4"
"15858",0,2011,302,174,20,10,"RestOfYear","RestOfYear","PM2","3"
"9351",0,2011,29,221,16,1,"RestOfYear","RestOfYear","PM1","3"
"25597",0,2013,177,22,3,6,"MayJun","MayJun3","AM1","1"
"7604",1,2010,321,321,21,11,"RestOfYear","RestOfYear","PM2","1"
"35060",0,2014,212,238,11,7,"RestOfYear","RestOfYear","MDay","4"
"17412",0,2012,10,237,9,1,"RestOfYear","RestOfYear","AM2","4"
"41493",1,2015,120,116,14,4,"RestOfYear","RestOfYear","MDay","2"
"28705",0,2013,308,64,15,11,"RestOfYear","RestOfYear","PM1","2"
"21143",1,2012,230,104,16,8,"RestOfYear","RestOfYear","PM1","2"
"25624",0,2013,178,85,6,6,"MayJun","MayJun3","AM1","2"
"18092",1,2012,38,145,17,2,"RestOfYear","RestOfYear","PM1","3"
"1649",0,2010,71,184,17,3,"RestOfYear","RestOfYear","PM1","3"
"27518",0,2013,259,203,4,9,"RestOfYear","RestOfYear","AM1","3"
"5355",1,2010,227,4,4,8,"RestOfYear","RestOfYear","AM1","1"
"7343",1,2010,310,338,24,11,"RestOfYear","RestOfYear","MNight","1"
"5653",1,2010,239,356,14,8,"RestOfYear","RestOfYear","MDay","1"
"34454",1,2014,187,323,5,7,"RestOfYear","RestOfYear","AM1","1"
"25985",0,2013,193,126,7,7,"RestOfYear","RestOfYear","AM2","2"
"20154",0,2012,188,258,11,7,"RestOfYear","RestOfYear","MDay","4"
"25794",0,2013,185,309,8,7,"RestOfYear","RestOfYear","AM2","4"
"39970",0,2015,56,277,2,2,"RestOfYear","RestOfYear","MNight","4"
"42894",0,2015,178,60,23,6,"MayJun","MayJun3","MNight","2"
"19757",0,2012,171,283,22,6,"MayJun","MayJun3","PM2","4"
"27297",0,2013,249,287,23,9,"RestOfYear","RestOfYear","MNight","4"
"1962",0,2010,84,295,18,3,"RestOfYear","RestOfYear","PM1","4"
"38328",0,2014,352,189,16,12,"RestOfYear","RestOfYear","PM1","3"
"20605",1,2012,208,27,6,7,"RestOfYear","RestOfYear","AM1","1"
"45992",0,2015,310,145,1,11,"RestOfYear","RestOfYear","MNight","3"
"11174",0,2011,106,153,16,4,"RestOfYear","RestOfYear","PM1","3"
"37203",0,2014,301,84,18,10,"RestOfYear","RestOfYear","PM1","2"
"45764",0,2015,300,24,13,10,"RestOfYear","RestOfYear","MDay","1"
"45318",1,2015,280,65,23,10,"RestOfYear","RestOfYear","MNight","2"
"44366",0,2015,241,215,7,8,"RestOfYear","RestOfYear","AM2","3"
"10878",0,2011,94,210,8,4,"RestOfYear","RestOfYear","AM2","3"
"38979",0,2015,14,14,19,1,"RestOfYear","RestOfYear","PM2","1"
"27620",0,2013,263,272,10,9,"RestOfYear","RestOfYear","AM2","4"
"15732",0,2011,297,108,14,10,"RestOfYear","RestOfYear","MDay","2"
"22410",0,2012,283,135,11,10,"RestOfYear","RestOfYear","MDay","2"
"3496",0,2010,148,124,17,5,"MayJun","MayJun2","PM1","2"
"8669",0,2011,1,249,6,1,"RestOfYear","RestOfYear","AM1","4"
"36125",0,2014,256,130,20,9,"RestOfYear","RestOfYear","PM2","2"
"2733",0,2010,116,328,22,4,"RestOfYear","RestOfYear","PM2","1"
"14165",0,2011,232,91,7,8,"RestOfYear","RestOfYear","AM2","2"
"29745",0,2013,352,290,23,12,"RestOfYear","RestOfYear","MNight","4"
"15042",0,2011,268,262,20,9,"RestOfYear","RestOfYear","PM2","4"
"18438",0,2012,116,243,23,4,"RestOfYear","RestOfYear","MNight","4"
"37473",1,2014,312,308,24,11,"RestOfYear","RestOfYear","MNight","4"
"4170",1,2010,177,185,19,6,"MayJun","MayJun3","PM2","3"
"2334",0,2010,100,248,7,4,"RestOfYear","RestOfYear","AM2","4"
"12758",0,2011,172,347,16,6,"MayJun","MayJun3","PM1","1"
"33250",0,2014,136,353,1,5,"MayJun","MayJun1","MNight","1"
"5534",0,2010,234,100,15,8,"RestOfYear","RestOfYear","PM1","2"
"35582",1,2014,234,196,5,8,"RestOfYear","RestOfYear","AM1","3"
"17443",0,2012,11,63,16,1,"RestOfYear","RestOfYear","PM1","2"
"6981",1,2010,295,287,22,10,"RestOfYear","RestOfYear","PM2","4"
"32543",0,2014,106,25,14,4,"RestOfYear","RestOfYear","MDay","1"
"34416",1,2014,185,307,15,7,"RestOfYear","RestOfYear","PM1","4"
"11773",0,2011,131,258,15,5,"MayJun","MayJun1","PM1","4"
"18659",1,2012,126,138,4,5,"MayJun","MayJun1","AM1","3"
"30446",1,2014,17,88,4,1,"RestOfYear","RestOfYear","AM1","2"
"24581",0,2013,134,114,19,5,"MayJun","MayJun1","PM2","2"
"29233",0,2013,331,221,15,11,"RestOfYear","RestOfYear","PM1","3"
"14323",0,2011,238,307,21,8,"RestOfYear","RestOfYear","PM2","4"
"15140",0,2011,272,242,22,9,"RestOfYear","RestOfYear","PM2","4"
"12205",1,2011,149,149,15,5,"MayJun","MayJun2","PM1","3"
"371",0,2010,17,272,11,1,"RestOfYear","RestOfYear","MDay","4"
"12228",1,2011,150,98,14,5,"MayJun","MayJun2","MDay","2"
"37703",0,2014,322,132,14,11,"RestOfYear","RestOfYear","MDay","2"
"26582",1,2013,220,84,4,8,"RestOfYear","RestOfYear","AM1","2"
"36582",0,2014,275,83,21,10,"RestOfYear","RestOfYear","PM2","2"
"35695",0,2014,238,258,22,8,"RestOfYear","RestOfYear","PM2","4"
"11836",0,2011,134,251,6,5,"MayJun","MayJun1","AM1","4"
"42155",1,2015,148,232,4,5,"MayJun","MayJun2","AM1","4"
"33928",0,2014,164,200,7,6,"MayJun","MayJun3","AM2","3"
"9392",0,2011,31,302,9,2,"RestOfYear","RestOfYear","AM2","4"
"27146",0,2013,243,218,16,8,"RestOfYear","RestOfYear","PM1","3"
"32493",0,2014,104,4,12,4,"RestOfYear","RestOfYear","MDay","1"
"40566",0,2015,80,255,22,3,"RestOfYear","RestOfYear","PM2","4"
"4049",0,2010,171,328,18,6,"MayJun","MayJun3","PM1","1"
"1221",0,2010,52,125,21,2,"RestOfYear","RestOfYear","PM2","2"
"6644",0,2010,281,240,21,10,"RestOfYear","RestOfYear","PM2","4"
"913",0,2010,40,125,1,2,"RestOfYear","RestOfYear","MNight","2"
"14080",0,2011,228,108,18,8,"RestOfYear","RestOfYear","PM1","2"
"3414",1,2010,145,260,7,5,"MayJun","MayJun2","AM2","4"
"31651",0,2014,67,115,9,3,"RestOfYear","RestOfYear","AM2","2"
"29846",0,2013,357,10,4,12,"RestOfYear","RestOfYear","AM1","1"
"15591",0,2011,291,34,17,10,"RestOfYear","RestOfYear","PM1","1"
"10418",0,2011,75,173,3,3,"RestOfYear","RestOfYear","AM1","3"
"19638",0,2012,166,56,23,6,"MayJun","MayJun3","MNight","2"
"22732",1,2012,296,96,21,10,"RestOfYear","RestOfYear","PM2","2"
"10773",0,2011,89,9,23,3,"RestOfYear","RestOfYear","MNight","1"
"11788",1,2011,132,316,6,5,"MayJun","MayJun1","AM1","1"
"14736",0,2011,256,37,2,9,"RestOfYear","RestOfYear","MNight","1"
"10922",1,2011,96,64,4,4,"RestOfYear","RestOfYear","AM1","2"
"6236",1,2010,263,282,21,9,"RestOfYear","RestOfYear","PM2","4"
"13299",0,2011,196,139,5,7,"RestOfYear","RestOfYear","AM1","3"
"6366",0,2010,269,154,7,9,"RestOfYear","RestOfYear","AM2","3"
"35067",0,2014,212,83,18,7,"RestOfYear","RestOfYear","PM1","2"
"22610",1,2012,291,159,19,10,"RestOfYear","RestOfYear","PM2","3"
"12147",1,2011,147,256,5,5,"MayJun","MayJun2","AM1","4"
"35984",1,2014,250,337,23,9,"RestOfYear","RestOfYear","MNight","1"
"7609",0,2010,322,132,2,11,"RestOfYear","RestOfYear","MNight","2"
"22637",1,2012,292,225,22,10,"RestOfYear","RestOfYear","PM2","3"
"36173",0,2014,258,91,20,9,"RestOfYear","RestOfYear","PM2","2"
"44775",0,2015,258,192,8,9,"RestOfYear","RestOfYear","AM2","3"
"4804",1,2010,204,196,5,7,"RestOfYear","RestOfYear","AM1","3"
"38717",1,2015,3,281,21,1,"RestOfYear","RestOfYear","PM2","4"
"13622",0,2011,209,159,16,7,"RestOfYear","RestOfYear","PM1","3"
"23185",0,2012,316,223,18,11,"RestOfYear","RestOfYear","PM1","3"
"13024",0,2011,183,139,18,7,"RestOfYear","RestOfYear","PM1","3"
"4421",0,2010,188,286,6,7,"RestOfYear","RestOfYear","AM1","4"
"45233",0,2015,277,154,10,10,"RestOfYear","RestOfYear","AM2","3"
"26192",1,2013,202,310,22,7,"RestOfYear","RestOfYear","PM2","4"
"14174",0,2011,232,350,16,8,"RestOfYear","RestOfYear","PM1","1"
"13072",0,2011,186,75,18,7,"RestOfYear","RestOfYear","PM1","2"
"41687",0,2015,128,21,16,5,"MayJun","MayJun1","PM1","1"
"10909",0,2011,95,45,15,4,"RestOfYear","RestOfYear","PM1","1"
"25940",0,2013,191,247,10,7,"RestOfYear","RestOfYear","AM2","4"
"36721",0,2014,281,107,16,10,"RestOfYear","RestOfYear","PM1","2"
"39999",0,2015,57,36,7,2,"RestOfYear","RestOfYear","AM2","1"
"3304",1,2010,140,349,17,5,"MayJun","MayJun1","PM1","1"
"45171",0,2015,274,151,20,10,"RestOfYear","RestOfYear","PM2","3"
"33245",0,2014,135,210,20,5,"MayJun","MayJun1","PM2","3"
"9201",0,2011,23,211,10,1,"RestOfYear","RestOfYear","AM2","3"
"26955",1,2013,235,81,17,8,"RestOfYear","RestOfYear","PM1","2"
"1201",0,2010,52,261,1,2,"RestOfYear","RestOfYear","MNight","4"
"22120",0,2012,271,314,9,9,"RestOfYear","RestOfYear","AM2","4"
"25255",0,2013,162,198,21,6,"MayJun","MayJun3","PM2","3"
"45504",1,2015,289,81,17,10,"RestOfYear","RestOfYear","PM1","2"
"40609",0,2015,82,68,17,3,"RestOfYear","RestOfYear","PM1","2"
"45478",0,2015,288,36,15,10,"RestOfYear","RestOfYear","PM1","1"
"22570",0,2012,290,77,3,10,"RestOfYear","RestOfYear","AM1","2"
"35807",0,2014,243,309,14,8,"RestOfYear","RestOfYear","MDay","4"
"36920",0,2014,289,140,23,10,"RestOfYear","RestOfYear","MNight","3"
"24586",0,2013,134,259,24,5,"MayJun","MayJun1","MNight","4"
"46940",0,2015,349,296,13,12,"RestOfYear","RestOfYear","MDay","4"
"17338",0,2012,7,242,7,1,"RestOfYear","RestOfYear","AM2","4"
"43604",1,2015,209,95,13,7,"RestOfYear","RestOfYear","MDay","2"
"32893",0,2014,121,70,4,4,"MayJun","MayJun1","AM1","2"
"27328",1,2013,251,120,6,9,"RestOfYear","RestOfYear","AM1","2"
"14288",0,2011,237,29,10,8,"RestOfYear","RestOfYear","AM2","1"
"32546",0,2014,106,112,17,4,"RestOfYear","RestOfYear","PM1","2"
"21334",1,2012,238,262,15,8,"RestOfYear","RestOfYear","PM1","4"
"11672",0,2011,127,218,10,5,"MayJun","MayJun1","AM2","3"
"40118",0,2015,62,193,6,3,"RestOfYear","RestOfYear","AM1","3"
"24831",1,2013,145,145,5,5,"MayJun","MayJun2","AM1","3"
"16217",1,2011,325,155,14,11,"RestOfYear","RestOfYear","MDay","3"
"26756",0,2013,227,115,10,8,"RestOfYear","RestOfYear","AM2","2"
"5344",0,2010,226,41,17,8,"RestOfYear","RestOfYear","PM1","1"
"35949",0,2014,249,58,12,9,"RestOfYear","RestOfYear","MDay","2"
"38205",0,2014,347,246,13,12,"RestOfYear","RestOfYear","MDay","4"
"11591",0,2011,124,5,1,5,"MayJun","MayJun1","MNight","1"
"17311",0,2012,6,181,4,1,"RestOfYear","RestOfYear","AM1","3"
"31899",0,2014,77,100,17,3,"RestOfYear","RestOfYear","PM1","2"
"4135",0,2010,176,251,8,6,"MayJun","MayJun3","AM2","4"
"29894",0,2013,359,329,4,12,"RestOfYear","RestOfYear","AM1","1"
"31490",0,2014,60,108,16,2,"RestOfYear","RestOfYear","PM1","2"
"34251",0,2014,177,172,18,6,"MayJun","MayJun3","PM1","3"
"28067",1,2013,282,305,1,10,"RestOfYear","RestOfYear","MNight","4"
"43931",1,2015,223,183,4,8,"RestOfYear","RestOfYear","AM1","3"
"20518",0,2012,204,10,15,7,"RestOfYear","RestOfYear","PM1","1"
"28113",1,2013,283,204,23,10,"RestOfYear","RestOfYear","MNight","3"
"17814",0,2012,27,1,3,1,"RestOfYear","RestOfYear","AM1","1"
"29742",0,2013,352,202,20,12,"RestOfYear","RestOfYear","PM2","3"
"2722",0,2010,116,17,11,4,"RestOfYear","RestOfYear","MDay","1"
"13226",1,2011,193,193,4,7,"RestOfYear","RestOfYear","AM1","3"
"40270",0,2015,68,341,14,3,"RestOfYear","RestOfYear","MDay","1"
"45201",0,2015,276,306,2,10,"RestOfYear","RestOfYear","MNight","4"
"9500",0,2011,35,220,21,2,"RestOfYear","RestOfYear","PM2","3"
"5037",1,2010,213,165,22,8,"RestOfYear","RestOfYear","PM2","3"
"28147",0,2013,285,96,9,10,"RestOfYear","RestOfYear","AM2","2"
"274",0,2010,13,311,10,1,"RestOfYear","RestOfYear","AM2","4"
